FILENUM	Canonical_SMILES
1	CP(C#C)C
2	CCCN(C(=C)CC)C
3	CC[C@](C(=C)I)(CO)CN
4	C#CC#C/C(=C(\C[C@@H](C#C)C)/C#C)/CC
5	NC(=O)COOC(=C(N=C)SNO)C#N
6	*/N=C(/N=C(C#N)CN)\CC
7	CC#CN(C(=C)[C@@](C#CC)(C#C)OC)C#CC(=O)C
8	CC#CN(C(=C)[C@@](C#CC)(C#C)OC)C
9	CC
10	COC#CO/C(=C/C(=C/C)/C)/CC
11	COOCN([C@@](SC(=O)CC#C)(N=O)CO)O/N=C/C
12	ONSCC(C[C@@](OC(=C)C)(C#CO)C)(N)N
13	N#C[C@H](N([C@@](/C(=C/NC(=O)/C(=C/C)/C(=O)C)/C)(C=O)Cl)C)O
14	FN[C@H](/C(=C\C(=C\C)\C)/OC#COC)Br
15	NC(=O)COOC(=C(N=C)F)C#N
16	C[C@H]([C@@](CN=O)(P)N)C#CCC
17	OOOON=O
18	C#C[C@@]([C@]([C@]([C@@H](O)C)(C(C)C)C#C)(C=C)N)([C@@H](O)C)C(C)C
19	N/C=C/[C@H](C/C=C(\C(=O)C=O)/C/C(=C/C)/CC)C
20	CO/C(=C\C(=C)C)/C#CC(=O)C(=C)C#C
21	CC#CN(C(=C)[C@@](C(=C)CC)(C#CC)C#C)C
22	CNC/C=C(/N=N/N(/C(=C(/N=N\*)\CN)/N=N/*)N)\C
23	N#CC[C@@H](NC(=O)O[C@H](C(=C)C=O)C)N
24	*/N=N/N(C(=C(N=N*)CN)/N=N/*)N
25	CC[C@@H](OC(=C)C(=C)CC)C
26	C=CC#CC(=O)[C@@]([C@@H](C(=C)C)O)(CN)N
27	CNC/C=C(/CN(C(=C)CC)CCC)\C
28	FN[C@H](/C(=C\C(=C\O[C@@H](/N=C(\CC)/C)C[C@@H](N)C)\C)/OC#COC)Br
29	CONC(=O)/C(=C/C)/C(=O)C
30	C[C@H](/C(=C/C=O)/ON)ON
31	C=CC([C@]([C@@H](O)C)(C(C)C)C#C)(C=C)N
32	NNCCO[C@@]([C@@](C#CC#CC)(OC)C)([C@H](/C=N/*)C=S)C#N
33	C=CC[C@]([C@@H](N(C)C)C)([C@@H](CC)C)CC
34	CNOC(=O)CC=C
35	CNC/C=C(/CN(C(=C)CC)C[C@@H](NF)Br)\C
36	C=CC(C=C)(C=C)N
37	N/C=C/[C@H](CC=C(C/C(=C/C)/CC)P)C
38	C=CC([C@]([C@@H](C(=C)CC(=O)C(=O)C(=O)C)C)(C(C)C)C#C)(C=C)N
