FILENUM	Canonical_SMILES
1	CCCO[C@@](C(=O)OC(=O)C)(C=S)CC
2	*/N=C/[C@@H](C(=C)/N=C\N=C)CC(C)(C)C
3	CC[C@@](C(=O)/C(=C/C)/C#C)(ONCN)N
4	OCC/C(=C(\N(C#C)C)/C#CCC)/CC
5	CCC#C[C@](O/C(=C/OC(=O)C#CC)/O)(OC)C
6	CCC[C@@H]([C@@](/C=C/C)(N)C)CC
7	CO[C@H](/C(=C\I)/C)C(=C)C#CC
8	CCC[C@@]([C@@H](C(=O)Br)N=O)(ON)C
9	C#CC[C@@](C(=C)[C@@](N(C=C(C)C)N)(CC)N)(CC)I
10	CC[C@@]([C@@H](C(O)(C)C)O)(OC)C
11	CC#CC#CC(=O)/C(=C/C(=S)N)/C#CO
12	C=COC(=C)C#CC#CCN
13	C=CCC(=O)/C(=N/*)/C(=C=O)CN(C)C
14	C#CO[C@@H](C(=O)[C@H](C(=O)O)C)/C(=C/[PH4])/C
15	CNN([C@H]([C@H](C(OC)(C)C)N(C(CC)(C)C)Cl)N)C
16	CCC/C(=C(\O)/C)/C#CCO
17	CCO[C@H]([C@](C#CF)(OC)N)N(C#C)OC
18	C#COC(=O)C#CF
19	O=NSN(O[C@@H](C#C)C)C#COC#CC
20	CCCN(C(=[PH2]C(=O)C)C)CC(=O)C
21	COC#C[C@@H]([C@@](C(=O)[P@@H](=C)C)(OC)CC)N
22	O=NC/C(=N\*)/C(=C(C)C)[C@@](C(C#C)(C)C)(Cl)N
23	C/C(=C\[C@](C=O)(OC#C)O)/ON(CC)O
24	CCC#C[C@@]([C@@H](C#CC)O)(/C(=N/*)/CC=O)C#CC#C
25	C[C@@H](C(=O)/C(=C\C#CC#C)/O/C(=C/N)/OC)F
26	C[C@@](NC)(CCC)COOC#C
27	CCC#CP(=C)[C@@](C(=O)OC#C)(C(=O)O)C#CN
28	[PH3]=NCOC#CC#C[C@](CCC)(C=C)C
29	OCO[C@](N(C(=O)C)C)(/C(=C/C)/O)C=C
30	NC[C@@H]([C@@](CN)(CC)N)CC(=O)N=C
31	C#C/C=C(/[C@@](C#CC)(C#N)C)\C#C/C=N/*
32	C=C[C@H]([C@@](O/C(=C\C#N)/CN)(OC)N)C
33	C=NCC[C@@](C(=O)CC)(CC)C
34	*/N=N\OC#CC#CC
35	C=NC[C@@](/C(=N/*)/CC)(C[C@](OC)(CC)C)NC
36	*/N=N/[C@@H](C#C[C@@]([C@@](C#C)(Br)C)(N)C)N
37	CCOC(=C=C(OO)CC)C#C[C@H](C#C)C
38	CCC/C(=C/C#CC)/OO
39	NCN/C(=C/OOON(C=O)C=C)/CC
40	CCO/C(=C(\O/N=C(\CP)/C)/N=O)/OC
1	CCCO[C@@](C(=O)OC(=O)C)(C=S)CC
2	C=N/C=N\C(=C)[C@H](C(=O)C#CF)CC(C)(C)C
3	CC[C@@](C(=O)OC#CC#CC)(ONCN)N
4	CCC#CC(=C(CC)CC)N(C#C)C
5	CCC#C[C@](O/C(=C/OC(=O)C#CC)/O)(OC)C
6	CCC[C@@H]([C@@](/C=C/C)(N)C)C/C(=C(/O)\C)/CCC
7	CO[C@H](/C(=C\I)/C)C(=C)C#CC
8	CCC[C@@]([C@@H](C(=O)Br)N=O)(ON)C
9	C#CC[C@@](C(=C)[C@@](N(N)C)(CC)N)(CC)I
10	CC#CC#CO[C@]([C@H](C(O)(C)C)O)(CC)C
11	CC(=O)/C(=C/C(=S)N)/C#CO
12	C=COC(=C)C#CC#CCN
13	CCC(=O)CC=C
14	C#CO[C@@H](C(=O)[C@H](C(=O)O)C)/C(=C/[PH4])/C
15	CNN([C@H]([C@H](C(OC)(C)C)N(C(CC)(C)C)Cl)N)C
16	CC#CCO
17	CCO[C@H]([C@](C#CF)(OC)N)N(C#C)OC
18	*/N=C/OC#C
19	O=NSN(O[C@@H](C#C)C)C#COC#CC
20	CCCN(C(=[PH2]C(=O)C)C)CC(=O)C
21	CC[C@@](C(=O)[P@@H](=C)C)([C@H](C#COC(=O)O)N)OC
22	O=NC/C(=N\*)/C(=C(C)C)[C@@](C(C#C)(C)C)(Cl)N
23	C#C[C@@H](C#CO[C@](/C=C(/ON(CC)O)\C)(C=O)O)C
24	CCC#C[C@@]([C@@H](C#CC=C(C)C)O)(/C(=N/*)/CC=O)C#CC#C
25	C/C(=C\C#CC#C)/O/C(=C/N)/OC
26	C[C@@](NC)(CCC)COOC#C
27	C#COC(=O)[C@@](P(=C)C#CCC)(C#CN)C
28	[PH3]=NCOC#CC#C[C@](CCC)(C=C)CO
29	OCO[C@](N(C(=O)C)C)(/C(=C/C)/O)C=C
30	NC[C@@H]([C@@](C#N)(CN)CC)CC(=O)N=C
31	C#C/C=C(/[C@@](C#CC)(N)C)\C#C/C=N/*
32	C=C[C@H]([C@@](O/C(=C\C#N)/CN)(CC)N)C
33	C=NCC[C@@](C(=O)CC)(CC)C
34	*/N=N\C(=C\C)\C#C
35	C=NC[C@@](/C(=N/*)/CC)(C[C@](OC(=O)[C@@H](F)C)(CC)C)NC
36	CC#C/N=N/[C@@H](C#C[C@@]([C@@](C#C)(Br)C)(N)C)N
37	CCOC(=C=C(OO)CC)C#C
38	COC/C(=C/C#CC)/OO
39	NCN/C(=C/OOON(C=O)C=C)/CC
40	CCO/C(=C(/O/N=C(\CP)/C)\N=O)/OC
1	CCCO[C@@](C(=O)OC(=O)C)(C=S)CC
2	C=CC[C@@H](C(=O)C#CF)C(=C)/N=C\N=C
3	NCNO[C@](/C(=C/C#CC)/OC#CC#CC)(CC)N
4	CCC#CC(=C(CC)CC)N(C#C)C
5	CCC#C[C@](O/C(=C/OC(=O)C#CC)/O)(OC)C
6	CCC[C@@H]([C@@](/C=C/C)(N)C)C/C(=C(\C#C)/O)/CCC
7	CO[C@H](/C(=C\I)/C)C(=C)C#CC
8	O=N[C@@H](C(=O)Br)C
9	C#CC[C@@](C(=C)[C@@](N(O)C)(CC)N)(CC)I
10	CCO[C@H]([C@@](OC#CC#CC)(CC)C)C(O)(C)C
11	CC(=O)/C(=C/C(=C)N)/C#CO
12	C[C@H](C#C)OOC(=C)C#CC#CCN
13	CCC#CCC=C
14	C#COO[C@@H](C(=O)[C@H](C(=O)O)C)/C(=C/[PH4])/C
15	CNN([C@H]([C@H](C(OC)(C)C)N(C(CC)(C)C)Cl)N)C
16	CC#CCO
17	CON([C@@H]([C@](C#CF)(OC)N)O)C#C
18	*/N=C/OC
19	O=NSN(C#COC#CC)C=C
20	CCCN(C(=[PH2]C(=O)C)C)CC(=O)C
21	CC[C@@](C(=O)[P@@H](=C)C)([C@H](C#COC(=O)O)N)OC
22	O=NC/C(=N\C)/C(=C(C)C)[C@@](C(C#C)(C)C)(Cl)N
23	CCC[C@@](/C(=C\[C@@](OC#C[C@H](C#C)C)(C=O)O)/ON(CC)O)(ON)C
24	CCC#C[C@@]([C@@H](C#CC=C(C)C)O)(/C(=N/*)/C)C#CC#C
25	C/C(=C\C#CC#C)/O/C(=C/N)/OC
26	C[C@@](NC)(CCC)COC#C
27	C#COC(=O)[C@@](P(=C)C#CCC)(C#CN)C
28	[PH3]=NCOC#CC#C[C@](CCC)(C=C)CC
29	O=CCC(=O)N([C@](/C(=C/C)/O)(OCO)C=C)C
30	NC[C@@H]([C@@](C#N)(CN)CC)CC(=O)[C@@H]([C@@](C(=O)[P@@H](=C)C)(OC)CC)N
31	*/N=C/C#C/C(=C\C#C)/[C@@](C#C)(N)C
32	N#C/C=C(\O[C@]([C@@H](C(C)(C)C)C)(CC)N)/CN
33	S=NCC[C@@](C(=O)CC)(CC)C
34	*/N=N\C(=C\C)\C#C
35	C=NC[C@@](/C(=N/*)/CC)(C[C@](OC(=O)[C@@H](F)C)(CC)C)NC
36	CC#C/N=N/[C@@H](C#C[C@@]([C@@](C#CC)(Br)C)(N)C)N
37	CCOC(=C=C(ON)CO)C#C
38	COC/C(=C/C#CC)/OO
39	NCN/C(=C/OOON(C=C)C)/CC
40	CCO/C(=C(/O/N=C(\CP)/C)\N=O)/OC
1	CCCO[C@@](C(=O)OC(=O)C)(C=S)CC
2	CCC(=C)/N=C\N=C
3	NCNO[C@](/C(=C/C#CC)/OC#CC#CC)(CC)N
4	CCC#CC(=C(CC)CC)N(C#C)C
5	CCC[C@](O[C@@](O/C(=C/OC(=O)C#CC)/O)(C#CCC)C)(NC)C
6	CCC[C@@H]([C@@](/C=C/C)(N)C)C/C(=C(\C#C)/O)/CCC
7	CC#CC(=C)[C@@H](C(=CI)/C(=C/C(=C)N)/C#CO)OC
8	C[C@H](C(=O)Br)OC
9	C#CC[C@@](C(=C)[C@@](N(O)C)(CC)N)(CC)I
10	CCO[C@H]([C@@](OC#CC#C[P@@H](=C)C)(CC)C)C(O)(C)C
11	CC(=O)C
12	N[C@H](C#C)OOC(=C)C#CC#CCN
13	OCCC#CCC=C
14	C#COO[C@@H](C(=O)[C@H](C(=O)O)C)/C(=C/[PH4])/C
15	CNN([C@H]([C@H](C(OC)(C)C)N(C(C)(C)C)Cl)N)C
16	CC#CC
17	CON([C@@H]([C@@](C#CF)(OC)N)O)C
18	CO/C=N\N=C
19	O=NSN(C#COC#CC)C=C
20	C=CC[C@@H](C(=O)C#CF)CN(C(=[PH2]C(=O)C)C)CC(=O)C
21	CC[C@@](C(=O)[P@@H](=C)C)([C@H](C#COC(=O)O)N)N=O
22	O=NC/C(=N\C)/C(=C(C)C)[C@@](C(C#C)(C)C)(Cl)N
23	C#C[C@@H](C#CO[C@](/C=C(/ON(CC)O)\C#C)(C=O)O)C
24	CCC#C[C@@]([C@@H](C#CC=C(C)C)O)(/C(=N/*)/C)C#CC#C
25	C/C(=C\C#CC#C)/O/C(=C/N)/C
26	CCOC#C
27	C#COC(=O)[C@@](P(=C)C#CCC)(C#CN)C
28	[PH3]=NCOC#CC#C[C@](CCC)(C=C)CC
29	O=CCC(=S)N([C@](/C(=C/C)/O)(OCO)C=C)C
30	NC[C@@H]([C@@](C#N)(CN)CC)CC(=O)[C@@H]([C@@](C(=O)C)(OC)CC)N
31	CCC[C@@]([C@](/C(=C/C#C)/C#C/C=N/*)(N)C)(ON)C
32	N#C/C=C(\O[C@]([C@@H](C(C#C)(C)C)C)(CC)N)/CN
33	O=NCC[C@@](C(=O)CC)(CC)C
34	*/N=N\C(=C\C)\C#C
35	*/N=C(/[C@](C[C@](OC(=O)[C@@H](F)C)(CC)C)(NC)C)\CC
36	CC#C/N=N\[C@@H](C#CC([C@@](C#CC)(Br)C)(C)C)N
37	C#CC(=C=C(ON)CO)OC/N=C(\CP)/C
38	COC#C/C=C(/COC)\OO
39	NCN/C(=C/OOON(C=C)CC)/CC
40	CCO/C(=C(\N=O)/OC)/OC
1	CCCO[C@@](C(=O)OC(=O)C)(C=S)CO
2	CCC(=C)/N=C\O
3	NCNO[C@](/C(=C/C#CC)/OC#CC#CC)(CC)N
4	CCC(=C(N(OC#C)C)C#CCC)CC
5	CCC[C@](O[C@@](O/C(=C/OC(=O)C#CC)/C)(C#CCC)C)(NC)C
