FILENUM	Canonical_SMILES
1	FC#C[C@](/C(=C/C)/[C@](C(=O)C(=C)C)(C=C)CC)(/C(=N/*)/Cl)C(=O)CC
2	CCC(=O)N(/C(=N\C(=C)O)/C(C(=C)I)(C)C)/C(=C(\C(O)(C)C)/O)/OC
3	C=C[C@H]([C@@](CCC([C@](C(=O)CC)(/N=C/C)C)(C)C)(NO)CC)C
4	C=CCN([C@](C(=[PH2][C@H](C=C)C)N)([C@@](O[C@]([C@](N[C@@H](OC(=C)C(=C)C)C)(C#CO)/C=C/C)(C[P@@H](=C)O)C=C)(CN)C)OC)CO
5	CC[C@@H]([C@@](C(C)C)(Cl)O)C(=O)OC(=O)OC(=C=N*)C#CC(=O)CC
6	CC[C@@H]([C@@](C(C)C)(Cl)O)C(=O)OC(=O)OC(=C=N*)C#CC(=O)CC
7	C=CON(/C(=N/C(=C(\OO)/C)/C(=C(\C#C)/OC)/C(=C=N*)C(=C)C=C)/C)C
8	C=CON(/C(=N/C(=C(\OO)/C)/C(=C(\C#C)/OC)/C(=C=N*)C(=C)C=C)/C)C
9	*/N=N/C(=C=O)C(=C=O)[C@@H](N([C@](C=O)(CC)C)/C(=N/*)/C(=O)N)C#N
10	CCO[C@](C#CC#C/C(=N/*)/C(=O)C)(C#CC#CC(=O)ON)S
11	CCOOC(=C=C(C(C)C)C#C)/C(=C\C)/O
12	OC#CN(/C(=C(/[C@@]([C@H](C(=O)C)C#C)(CC(=O)N)OC)\C(=C)C=C)/C)N
13	*/N=N/ON(C#C[C@@]([C@@H](C(N)(N)C)C(C)(C)C)(C#C)C)COC#CNC
14	C=CON(/C(=N/C(=C(\OO)/C)/C(=C(\C#C)/OC)/C(=C=N*)C(=C)C=C)/C)C
15	OC#CN(/C(=C(/[C@@]([C@H](C(=O)C)C#C)(CC(=O)N)OC)\C(=C)C=C)/C)N
16	*/N=C/C#COC(=O)C#C/C(=C/C[C@@](C#CC)(CC)N)/C(=N/*)/CC
17	ONC[C@@H](C(=O)/C(=C(/C=C/C)\C)/N)/C(=C/C[C@](C#C)(OC)C)/CNC
18	C=C[C@H]([C@@](CCC([C@](C(=O)CC)(/N=C/C)C)(C)C)(NO)CC)C
19	C=C[C@@H](C([C@](ON(C(=O)[C@@H](OC)NC)O)(NCC(=C)C)N)(C)C)C/N=N/*
20	CC#C/C(=C(/C(=C=N*)/C(=N/*)/N(OC(N)N)C#C)\C(=N\*)\C#CC)/[PH4]
21	FN=O
22	CC#C/C(=C(/C(=C=N*)/C(=N/*)/N(OC(N)N)C#C)\C(=N\*)\C#CC)/[PH4]
23	CCO[C@](/C(=C(\CN)/C)/N(/C(=C/[C@@](C(=C(C)C)C)(O/C(=N/*)/C(=N/*)/C)NC)/C=C)Cl)(C#C)C
24	OCCC[C@]([C@@](C#CC/C(=C/C)/C)(O)C)(O/C(=C/C)/OCC=O)C#N
25	CCOOC(=C=C(C(C)C)C#C)/C(=C\C)/O
26	COCC(/C(=C(/C(=O)COC=O)\[C@@H](OCO)O)/C(=C(\[C@@H](CC)C)/O)/O)(C)C
27	CCOOC(=C=C(C(C)C)C#C)/C(=C\C)/O
