SMILES,logP,tPSA,QED,SAS,NP,MW,NATOM
*/N=N/[C@](C(=C)N(C)C)(OC#N)C#CC(=O)F,0.67168,78.05,0.30351829815928744,5.693120002410264,-0.3587016323698058,223.18699999999998,16
COOC(=O)/C(=N\*)/C#CC(=O)C(=O)C,-0.8422000000000003,82.03,0.14664197729897688,4.492602941289124,0.39942364723328677,196.13799999999998,14
FCC/C(=N\*)/ON(NN(C#CC#CC#COO)S)ON,0.3201,104.81,0.09640411676163511,5.761242824676201,0.3874854160319762,302.267,20
ICC[C@@](C(C)C)(O/N=C/C#C)C#C,2.475100000000001,21.59,0.251321278955002,5.265464321892162,0.3462949188586214,303.14300000000003,14
COBr,0.9427,9.23,0.4515713947031062,3.3795262694042147,0.12207243651773336,110.93799999999999,3
O/C=C(/C(=O)[C@@](OC)(CF)C)\CC(=C)C,2.3381999999999996,46.53,0.4208687043184407,4.356873031828539,0.7683984882482867,216.25199999999995,15
C[C@@]([C@](C#N)(Cl)C)(C(=O)N=O)C=C,1.9927799999999998,70.28999999999999,0.3974504657675386,4.799736968082206,-0.16312715728127697,200.625,13
CC[C@@](C(=O)C(C)C)(/C=N/*)C,2.1628999999999996,29.43,0.5704371841727643,4.607061555404121,0.07210533445806666,154.23299999999995,11
CC[C@H]([C@H](C/C(=C(/N)\C)/CC)N=O)CCl,4.1195,55.449999999999996,0.5402396924572577,4.49293769634475,0.47964771560945996,232.755,15
C/C=C(/C=C/COC(C#CC#C)(C)C)\C,2.9406,9.23,0.5028524209616599,3.913739272650071,1.81140288197448,202.29699999999997,15
CC#CO[C@](/C(=C/O)/C)(C(=C)C)/C=C/[C@@](C#C)(CN)C,3.6151999999999997,55.480000000000004,0.4442841694666459,5.574218597784343,0.843906404095885,273.376,20
COOC#COOC#C,0.021699999999999983,36.92,0.2272247090720825,5.144633545687095,0.6276243878765778,128.08299999999997,9
C#CCOOC(=C)[C@@](N([C@@H](OC)N)/C=C(\C=C\C)/CC)(C#CC#CN)Cl,3.4009,82.97,0.057859974410542664,5.623925732262314,0.43313692726741154,377.8720000000002,26
CC(=C)C(=O)C#C,0.7648000000000001,17.07,0.26621147422423114,3.8467240390127673,0.6656958155629,94.11299999999999,7
COP(=C([C@](N=O)(N)C)OC)N(CC)N,1.4907999999999997,103.16999999999999,0.29401008586863664,5.412287649630332,-0.17302308932187332,238.22799999999995,15
CC[C@@H](C(=C)/C(=C/C/C=C(\C(=O)SC)/C)/C)C,4.760999999999999,17.07,0.5005280525727899,4.142231191221454,0.993812193354812,252.42299999999997,17
CC(O)C,0.3871,20.23,0.42840479403162834,1.7383038156987496,0.5167489618251749,60.096000000000004,4
ON/C=C(\[C@](OCC(O)(C)C)(CC)F)/C,2.1231999999999998,61.72,0.5977110497695917,4.393080724136231,0.14659249572887997,221.27199999999996,15
CO[C@@H](/C(=N\C(=C(/C(=O)OC)\C)\C#CC(=C)C=C)/CC#C/N=C(/OC)\C)Cl,3.2470999999999997,69.48,0.13269570110220505,5.141482878911226,0.2781876264271593,390.8670000000002,27
C[C@H](COC#CC#C)N,0.6446,35.25,0.5221414115231442,4.555400308914146,0.9917709047331146,123.15499999999999,9
N#COO/C(=C(/C(=C\C)/C(=O)C)\N(CC)N)/N,1.6749800000000001,114.6,0.1301770972267228,4.258270777644753,0.1269607758444059,240.26299999999995,17
C=CCO[C@@H]([C@](OC(=C=C)CSC#C)(P=C)O)O[C@H](OC)CC,2.9478,57.150000000000006,0.13642760673648446,5.725547899924214,0.20985126178835217,358.3960000000001,23
NCC(=C)C#CN(C)C,0.7241000000000001,29.259999999999998,0.3943291702925715,4.333159110904486,0.21591619437263335,124.18699999999998,9
C=CN(C#C/C(=C(\N=C)/CC)/Br)C,2.7397,15.6,0.42112071451271743,4.989357849556337,-0.03450189775659999,241.13199999999998,13
O=COC(O[C@](N(CN)O)(NBr)C)(C)C,1.8197999999999996,97.05000000000001,0.26401159904691973,5.026203396201009,0.5182207673518533,286.12600000000003,15
Br/C=N/OOOON(OC(=O)C)C#CC,0.8118999999999998,78.82,0.17812144362133578,5.080343250135998,0.46406393495682,283.034,15
CN([C@@](/C(=C/C#C)/N)(C#C)N=C)CNN,0.6364,79.67,0.1739207991723584,5.491942698599015,0.010241694534113322,205.265,15
C=O,0.451,17.07,0.36062445834190227,4.043614072795545,0.41011401834204997,30.026,2
CC#C[C@H]([C@@]([C@](N([C@@H](C#N)C)C#C)(C(=C)C)O)(C#N)O)O,-0.30523999999999984,111.51000000000002,0.2102724986047268,5.6379147149699955,0.3473732753388429,287.31899999999996,21
CC#C/C(=C\C)/C(=O)COC(=O)CCC(=C)O,1.9202,63.60000000000001,0.3310254201256648,3.417934274148249,0.6561256243383824,236.26699999999994,17
CCC#CC(=O)[C@@](C(=O)OCC)(N=O)F,0.9642000000000001,72.80000000000001,0.17474948369007803,4.086547432326825,-0.03140381088196001,215.17999999999995,15
C/C=N/C#C[C@@H](C#CC#N)C#COC(C)C,1.56708,45.379999999999995,0.4889039216254242,5.567319728085873,0.23828603321379377,212.25199999999995,16
CN=O,0.38260000000000005,29.43,0.36193853808395754,3.5030801155580598,-0.18670469624966668,45.041000000000004,3
CCC(=O)[C@]([C@@H](C(=C(C)C)N)C)(C(=C)C#C)CC,4.1403,43.09,0.7305826198950625,4.630611009449909,0.49838854072273897,247.38199999999995,18
FC#CC#CO/C(=C/C)/[C@@](C#C)(CN)C,2.0965999999999996,35.25,0.5579933714748633,5.275010035877122,0.5846163353101134,205.23199999999994,15
O=CCC(OOO[C@](C(=C)C#N)(OC(=O)C)C)(C)C,1.5928799999999999,94.85000000000002,0.16508598211469247,4.419291103925823,0.762059626839279,271.26899999999995,19
C#CC(=C)C/C(=C(/C(=C)ON)\O)/CN(N)C,1.9881,84.74000000000001,0.20163746929162793,4.610064798050021,0.3895868448406062,223.27599999999998,16
COC(=O)[C@](C(=C)O)([C@H](N)C)CC,1.675,72.55,0.5079058334492869,4.025235045005281,0.5452994175978693,187.23899999999995,13
OOOC(/C(=C(\C#CC=O)/CO)/C)(C)C,0.6972999999999999,75.99,0.31157485922285755,4.280398207561313,1.25810661197566,214.21699999999996,15
N#CO[C@](C(=C)N(C=C)C)(C#CC(=O)F)/N=N/*,1.18538,78.05,0.31007268346678724,5.868755485454645,-0.07925108674248332,235.19799999999998,17
COOC(=O)/C(=N/*)/C#CC(=O)C(=O)C,-0.8422000000000003,82.03,0.14664197729897688,4.492602941289124,0.39942364723328677,196.13799999999998,14
*/N=C/[C@](C/C(=N\*)/ON(NN(C#CC#CC#COO)S)ON)(CC)C,1.302,117.17000000000002,0.09315767899348254,6.369571997002738,0.4416568374759885,352.3760000000001,24
O[C@@](C#C)(O/N=C/C#C)CCI,0.7689000000000001,41.82,0.20585125160056106,5.513117228481042,0.5288903434539166,277.0609999999999,12
C=CC(=C)C#C/C(=C(/C(=O)OC)\C)/N=C(\[C@H](OC)Cl)/OC,2.4352,57.120000000000005,0.14878541505563658,4.708742495547332,0.3711760695883952,311.76500000000004,21
O/C=C(/C(=O)[C@]([C@@](C#C)(CN)C)(OC)C)\CC(=C)C,2.6672000000000002,72.55,0.3193382344307516,4.888572603905589,0.4940854429038316,265.35299999999995,19
C[C@@]([C@](C#N)(Cl)C)(C(=O)N=O)C=C,1.9927799999999998,70.28999999999999,0.3974504657675386,4.799736968082206,-0.16312715728127697,200.625,13
FCC(=O)C(C)C,1.181,17.07,0.513778339634317,2.7296000571123145,0.26475038208154295,104.124,7
CC[C@H]([C@H](C/C(=C(/N)\C)/CC)N=O)CCl,4.1195,55.449999999999996,0.5402396924572577,4.49293769634475,0.47964771560945996,232.755,15
C#CCOC(C#CC#C)(C)C,1.0514000000000001,9.23,0.5290284126288952,4.159282033909962,0.3297691930019273,146.18899999999996,11
FC/C=C/[C@@](/C(=C/O)/C)(C(=C)C)OC#CC,3.2862,29.46,0.4408926925924808,5.220632864949009,1.027781633313575,224.27499999999995,16
COOC#COOC#C,0.021699999999999983,36.92,0.2272247090720825,5.144633545687095,0.6276243878765778,128.08299999999997,9
C#CCOOC(=C)[C@@](N([C@@H](/C(=C/C)/C(=C(/OOC#N)\N)/N(CC)N)N)/C=C(\C=C\C)/CC)(C#CC#CN)Cl,4.896579999999998,171.27,0.019359760164940558,6.040953631792782,0.3577005873047816,544.0560000000004,38
CC(=C)C(=O)C#C,0.7648000000000001,17.07,0.26621147422423114,3.8467240390127673,0.6656958155629,94.11299999999999,7
COP(=C([C@](N=O)(N)C)OC)N(CC)N,1.4907999999999997,103.16999999999999,0.29401008586863664,5.412287649630332,-0.17302308932187332,238.22799999999995,15
CC[C@@H](C(=C)/C(=C/C/C=C(\C(=O)SC)/C)/C)C,4.760999999999999,17.07,0.5005280525727899,4.142231191221454,0.993812193354812,252.42299999999997,17
CC(C(C)C)C,2.2984,0.0,0.4590282783168001,1.6284795296773282,0.04530256686885,86.178,6
ON/C=C(\[C@](OCC(O)(C)C)(CC)F)/C,2.1231999999999998,61.72,0.5977110497695917,4.393080724136231,0.14659249572887997,221.27199999999996,15
C/C(=N\C#CCBr)/OC,1.4069999999999998,21.59,0.24468064129361963,4.378133776456326,0.15307941168713332,190.03999999999996,9
C/C=C(/C=C/C#COC[C@H](N)C)\C,2.5337999999999994,35.25,0.5296663780428612,4.461014908840273,1.6817565273309256,179.26299999999998,13
N#COO/C(=C(/C(=C\C)/C(=O)C)\N(CC)N)/N,1.6749800000000001,114.6,0.1301770972267228,4.258270777644753,0.1269607758444059,240.26299999999995,17
CCO[C@@H]([C@H](OC(=C=C)CSC#C)P=C)O[C@H](OC)CC,3.4617000000000004,36.92,0.1800497206711922,5.667682960651453,0.23259148220848094,330.3860000000001,21
NCC(=C)C#CN(C)C,0.7241000000000001,29.259999999999998,0.3943291702925715,4.333159110904486,0.21591619437263335,124.18699999999998,9
CC/C(=C(/C#CF)\Br)/N=C,2.6339,12.36,0.48386038324257574,5.086768774959538,-0.19677254083618007,204.04199999999997,10
NCN([C@@](OC(OC=O)(C)C)(NN([C@@H](C#N)C)C#C)C)O,1.22968,124.08,0.16982288973874834,5.394811511582471,0.14458978311234766,299.331,21
Br/C=N/OOOON(OC(=O)C)C#CC,0.8118999999999998,78.82,0.17812144362133578,5.080343250135998,0.46406393495682,283.034,15
NNCN,0.1574000000000001,64.07,0.193549556365019,3.544446123391057,-0.345682601933875,61.087999999999994,4
C=O,0.451,17.07,0.36062445834190227,4.043614072795545,0.41011401834204997,30.026,2
CC#C[C@H]([C@@]([C@@](C(=C)C)(Br)O)(C#N)O)O,0.2848800000000002,84.48,0.29864499429294,5.229797472700845,0.6513479872141199,274.114,15
CC#C/C(=C\C)/C(=O)COC(=O)CCC(=C)O,1.9202,63.60000000000001,0.3310254201256648,3.417934274148249,0.6561256243383824,236.26699999999994,17
CCC#CC(=O)[C@@](N(C=C)C)(C(=O)OCC)N=O,1.07,76.03999999999999,0.23222909230832242,4.42924157383435,0.1633298592207,252.26999999999992,18
C/C=N\C#C[C@@H](C#CC#N)C#COC(C)C,1.56708,45.379999999999995,0.4889039216254242,5.567319728085873,0.23828603321379377,212.25199999999995,16
CN=O,0.38260000000000005,29.43,0.36193853808395754,3.5030801155580598,-0.18670469624966668,45.041000000000004,3
CO[C@H]([C@](C(=C)C#C)(C(=O)CC)CC)C,2.5862,26.3,0.6270674843758737,4.469812750844907,0.6367663971889868,208.30099999999996,15
C/C=C(/OC#CC#CF)\NO,1.1253000000000002,41.489999999999995,0.35072803762894006,4.864798797835691,0.9140204378854818,155.12800000000001,11
O=CCC(OOO[C@](C(=C)C#N)(OC(=O)C)C)(C)C,1.5928799999999999,94.85000000000002,0.16508598211469247,4.419291103925823,0.762059626839279,271.26899999999995,19
C#C/C=C(/[C@](N(N(C/C(=C(\C(=C)ON)/O)/CC(=C)C#C)C)C)(C#C)N=C)\N,2.4671000000000003,100.34,0.17554997519109225,5.652546175614523,0.38401321488854445,367.4530000000001,27
CC[C@@](C(=O)C(=C(C)C)N)(C(=C)O)[C@H](N)C,3.024,89.34,0.49065099957442265,4.4314465440134265,0.5202713761741438,226.31999999999994,16
OOOC(/C(=C(\C#CC=O)/CO)/C)(C)C,0.6972999999999999,75.99,0.31157485922285755,4.280398207561313,1.25810661197566,214.21699999999996,15
*/N=N/[C@@](C(=C)[C@H](N)C)(C#CC(=O)F)OC#N,1.20008,100.83000000000001,0.24630201290828477,5.930314542920927,-0.026783582740570605,223.18699999999998,16
COOC(=O)/C(=N/*)/C#CC(=O)C(=O)C,-0.8422000000000003,82.03,0.14664197729897688,4.492602941289124,0.39942364723328677,196.13799999999998,14
OOC#CC#CC#CCCl,0.6825,29.46,0.2407447250141571,4.514053432609579,1.9692991487255003,154.55199999999996,10
C/C=N\[C@@](C#C)(O/N=C/C#C)CCI,1.8673,33.95,0.2508894743192693,5.672781632319999,0.3463073966957286,302.11499999999995,14
C=CC(=C)C#C/C(=C(/C(=O)OC)\C)/N=C(\[C@H](OC)Cl)/OC,2.4352,57.120000000000005,0.14878541505563658,4.708742495547332,0.3711760695883952,311.76500000000004,21
CCC#CC/C(=C\O)/C(=O)[C@]([C@@](C#C)(CN)C)(OC)C,2.5044999999999993,72.55,0.4410053663658369,4.963605875890852,0.33833907134909,277.364,20
C[C@@]([C@](C#N)(Cl)C)(C(=O)N=O)C=C,1.9927799999999998,70.28999999999999,0.3974504657675386,4.799736968082206,-0.16312715728127697,200.625,13
CC[C@@H](C(=C)/C(=C/CC(=O)C(C)C)/C)C,4.150199999999998,17.07,0.5992144577986893,3.6329560277799553,1.32032699042092,208.34499999999997,15
*/N=C/[C@](C/C(=N\*)/ON(NN([C@@H]([C@H](C/C(=C(/N)\C)/CC)N=O)CC)S)ON)(CC)C,4.533899999999999,143.16,0.10205851959822727,6.376175699099651,0.10914344925802903,430.57900000000024,29
C#CCOC(C#CC#C)(C)C,1.0514000000000001,9.23,0.5290284126288952,4.159282033909962,0.3297691930019273,146.18899999999996,11
FC/C=C/[C@](/C(=C/O)/C)(OC#CC)N,2.3266,55.480000000000004,0.31293256783522044,5.2909113073391465,0.962990019492693,199.22499999999997,14
FOOC#COOC#C,0.2763999999999999,36.92,0.23378304957412624,5.477744314917865,0.14571858990311112,132.046,9
O=COC(O[C@]([C@@H](N([C@](C(=C)OOCC#C)(C#CC#CN)Cl)/C=C(\C=C\C)/CC)/C(=C/C)/C(=C(/OOC#N)\N)/N(CC)N)(NN([C@@H](C#N)C)C#C)C)(C)C,6.25816,219.84000000000003,0.00937126479781745,6.847719809585349,0.3550899166630426,766.2999999999996,54
C#COC#N,0.07477999999999999,33.019999999999996,0.29656380471746807,5.0339455420516765,-0.4998989622064,67.047,5
COP(=C([C@](N=O)(N)C)OC)N(CC)N,1.4907999999999997,103.16999999999999,0.29401008586863664,5.412287649630332,-0.17302308932187332,238.22799999999995,15
C/C(=C/[C@H](Br)F)/C(=O)SC,2.5127999999999995,17.07,0.532178792446952,4.388872129902564,0.06206421820362995,227.09799999999998,10
CCO[C@@H]([C@@H](P=C)C)O[C@H](OC)CC,2.5147999999999993,27.69,0.4644156142869453,4.869883816927944,0.2871147676286857,220.249,14
ON/C=C(\[C@](OCC(O)(C)C)(CC)F)/C,2.1231999999999998,61.72,0.5977110497695917,4.393080724136231,0.14659249572887997,221.27199999999996,15
C/C(=N\C#CCBr)/OC(=O)CCC(=C)O,2.1557,58.89,0.2141232468095685,4.113016580342378,0.7143139422791535,274.1139999999999,15
NOC(=C)/C(=C(\C=C\C#CO[C@@H](N)C)/C)/O,2.4614000000000003,90.73,0.21825905183629454,5.0525240737402175,1.1885369292657626,224.25999999999996,16
CCN(/C(=C(\OC(=O)C(=C)C)/N)/C(=C\C)/C(=O)C)N,2.365,98.64999999999999,0.18567646461254958,3.759034520447594,0.37211575131257374,267.32899999999995,19
C[C@@H](C(C)C)OC(=C=C)CSC#C,3.0401999999999996,9.23,0.37955593191823883,4.683224268891986,0.3917506194331616,196.315,13
NCC(=C)C#CN(C)C,0.7241000000000001,29.259999999999998,0.3943291702925715,4.333159110904486,0.21591619437263335,124.18699999999998,9
CC#C/C(=C(\N=C)/CC)/Br,2.7268,12.36,0.47963264897410185,4.691919070817526,0.28116789100642,200.079,10
NCN([C@@](OC(OC=O)(C)C)(NN([C@@H](C#N)C)C#C)C)O,1.22968,124.08,0.16982288973874834,5.394811511582471,0.14458978311234766,299.331,21
CCOOON(OC(=O)C)C#CC,0.5619999999999999,57.23,0.20695324450980926,4.3215742555033305,0.8178349769959462,189.16699999999997,13
CC(=C)CNN,1.117,38.05,0.28239863009433025,3.37376131751693,-0.13628778465738337,86.138,6
C=O,0.451,17.07,0.36062445834190227,4.043614072795545,0.41011401834204997,30.026,2
CC#C[C@H]([C@@]([C@@](C(=C)C)(Br)O)(C#N)O)O,0.2848800000000002,84.48,0.29864499429294,5.229797472700845,0.6513479872141199,274.114,15
COCC(=O)/C(=C/C)/C#CC,1.1715,26.3,0.4479820131255104,3.5801642620266723,0.38849358141002727,152.19299999999998,11
CCOC(=O)[C@@](C(=O)C(=C)C)(N(C=C)C)N=O,1.2327000000000001,76.04,0.2893726062572662,4.221824035586391,-0.02347403280514119,240.25899999999996,17
OC#C[C@@H](C#CC#N)C#COC(C)C,0.84888,53.25,0.6189645080294316,5.418274749728905,0.37674639844955,187.19799999999998,14
O=NC(=O)C,0.2993,46.5,0.3869365250011595,2.7609822284422094,-0.29444008005492,73.051,5
CO[C@H]([C@](C(=C)C#C)(C(=O)CC)O/N=C/Br)C,2.2833999999999994,47.89,0.41168742454325663,5.0693072002635855,0.6308723754646355,302.168,17
C/C=C(/OC#CC#CF)\NO,1.1253000000000002,41.489999999999995,0.35072803762894006,4.864798797835691,0.9140204378854818,155.12800000000001,11
O=CCC(OOO[C@](C(=C)C#N)(OC)C)(C)C,1.6761799999999998,77.78000000000002,0.21205087845542217,4.583331890522153,0.6776228651510765,243.25899999999996,17
C#C/C=C(/[C@](N(N(C/C(=C/C)/CC(=C)C#C)C)C)(C#C)N=C)\N,2.4970000000000008,44.86,0.32177919245807857,5.508903613123962,0.43608705363150874,308.42900000000003,23
C=CN([C@](C(=O)C(=C(C)C)N)(C(=C)O)CC)C,2.8042,66.56,0.549118134737965,4.486255367045629,0.2393162833732235,238.33099999999993,17
