,validity,uniqueness,novelty,internal_diversity,logP_avg,logP_mode,tPSA_avg,tPSA_mode,QED_avg,QED_mode,SAS_avg,SAS_mode,NP_avg,NP_mode,MW_avg,MW_mode,NATOM_avg,NATOM_mode,MSD,MAD,MIN,MAX,SD
samegen-MC0,1.0,0.4189,1.0,0.8441831703508759,3.4211112389999703,3.4240453445344525,183.0020500000218,51.533999399940065,0.16334207571448398,0.02733684228030664,5.911939767020917,5.628689260960371,0.017373549378765854,0.0209689161568265,747.5366001500003,409.6838591859181,51.4483,26.103010301030103,-0.0788887610000014,0.927170675000001,-4.2894000000000005,6.328099999999997,1.180815384650075
samegen-MC1,1.0,0.2894,1.0,0.8270087938739527,3.2576560089999713,3.04514407440744,51.042067499997195,12.807040704070404,0.3848469474705979,0.40769812533042715,4.173157801702861,4.643915997150791,0.2098450257548645,0.13885415727363348,226.78530680000765,160.6051625162516,14.26195,10.983498349834983,-0.24234399099999843,0.9973588489999887,-3.8622,6.871899999999998,1.2255127615099777
samegen-MC2,1.0,0.29145,1.0,0.8395510076672602,3.30194247000002,3.7218834883488316,32.535703499998256,1.2546894689468948,0.33869400405798167,0.38120401718609276,4.459991365509217,3.820776288498424,0.8657151854665895,0.7344771196425196,239.49084040000267,169.39261776177608,17.01195,12.349834983498349,-0.19805753000000326,1.1512304019999704,-4.143,8.885199999999989,1.429605237214546
samegen-MC3,1.0,0.29145,1.0,0.8395510076672602,3.30194247000002,3.7218834883488316,32.535703499998256,1.2546894689468948,0.33869400405798167,0.38120401718609276,4.459991365509217,3.820776288498424,0.8657151854665895,0.7344771196425196,239.49084040000267,169.39261776177608,17.01195,12.349834983498349,-0.19805753000000326,1.1512304019999704,-4.143,8.885199999999989,1.429605237214546
Roulette0,1.0,0.6742,1.0,0.8696579859596634,3.2408213389999823,2.841853381338132,48.11219249999925,3.122792279227922,0.3489241848434757,0.41447516099684134,5.162769998896554,4.948563143540954,0.3769835797341364,0.34633830066100524,335.7771939000009,218.9643620362036,23.09485,15.981398139813981,-0.2591786609999985,1.0910127769999964,-4.94804,7.452839999999993,1.3471122194826481
Roulette1,0.99935,0.67513884024616,1.0,0.8802067640368467,3.2184967458848024,2.982929432943294,51.92001851203236,26.02663566356635,0.3799934622702243,0.4220463977497133,4.916034731560016,4.8805571693231204,0.5602848085807942,0.41799293471110066,258.18512202932095,202.19990279027888,17.276329614249263,14.001300130013,-0.281503254115177,1.0558518607094654,-4.8692,7.158700000000001,1.3059603999805522
Roulette2,0.99995,0.6789339466973349,1.0,0.8667077873177023,-3.8204721946097395,-4.216143344334457,296.92096804840594,223.18505850585086,0.10871330597918862,0.0190507442690001,6.019240384760785,5.909090909090909,0.8865624694494652,0.8075097716386059,604.6054291714529,276.12669816981673,41.395419770988546,18.313531353135314,-7.32047219460972,7.322118286914339,-18.879200000000047,2.0428999999999977,2.094174860442757
Roulette3,0.99955,0.6969136111250063,1.0,0.8837073460060716,3.218861237556912,2.95795396539654,65.45428993046637,26.22869186918693,0.3123629780611511,0.4117158786639361,4.684439200585453,5.004014094101353,0.6177538124712937,0.4944586520288101,312.2897959081564,197.08837783778364,21.138712420589265,13.438543854385438,-0.2811387624431011,1.1550484017808154,-4.859999999999999,7.2781,1.413524898956943
parent-child-MC0,1.0,0.47825,1.0,0.8364632709071255,3.3572775049999874,3.237017761776178,32.195588500000184,0.5302610261026103,0.4042881437692772,0.4259980356173832,4.262241909314275,4.092921507747008,1.222530756930566,0.4610900812825631,205.42630414999317,135.290306930693,14.54405,9.825082508250826,-0.1427224950000028,0.7865443669999422,-3.5388,5.347500000000002,1.0013072986191176
parent-child-MC1,1.0,0.6344,1.0,0.8739242650919485,-2.8692429450000008,-0.30484842484248986,328.04811550000255,77.2395319531953,0.10439703478383687,0.007859396177793012,6.064231083936252,5.536453645364536,0.48917546466515394,0.36813933011775934,766.1566511999905,192.65528292829265,54.41255,13.273427342734273,-6.36924294499998,6.371778360999979,-24.29620000000002,1.2260999999999989,2.9410032547183045
parent-child-MC2,1.0,0.53415,1.0,0.8905963644182396,2.8983513349999996,2.0423538653865365,29.189852499997674,1.1003500350035007,0.3679277102417089,0.38536794850895784,4.111928811638041,4.124942521772687,0.7510075359510447,0.6655569475168948,207.35787979999128,110.52022022202215,14.4134,8.019401940194019,-0.6016486649999956,1.5622723109999834,-4.5466999999999995,12.689599999999984,1.8434080790494916
parent-child-MC3,0.98905,0.5448662858298368,1.0,0.9028265310572107,3.027545164551828,2.341809410941095,30.179975228754145,0.8417341734173417,0.3438887588293464,0.382633450550088,4.3922615123504,4.175796932259457,0.3830646707039873,0.3652180536229097,263.86943309235795,126.71330773077302,14.580455993124716,7.814581458145815,-0.4724548354481611,1.5817604539709726,-4.3422,15.395500000000006,2.009009269396979
